type,sku,name,featured,short_description,regular_price,currency,category_ids,Images,description,optionLists
simple,67665654,"Bhuna Goat",0,"Goat with golden onions and spices in a thick
sauce",20,USD,"Meat Entrées",",","Goat with golden onions and spices in a thick
sauce","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665647,"Sunehri Murgh",0,"Chicken cubes cooked in a mild cashew nut and onion sauce
finished with yogurt cream & saffron
",18,USD,"Meat Entrées",",","Chicken cubes cooked in a mild cashew nut and onion sauce
finished with yogurt cream & saffron
","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665650,"Gosht Malabar",0,"Gluten free. Lamb simmered in coconut milk with mustard seeds and spices.",20,USD,"Meat Entrées",",","Gluten free. Lamb simmered in coconut milk with mustard seeds and spices.","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665652,"Saag Gosht",0,"Gluten free. Lamb cooked with spinach and Indian spices.",20,USD,"Meat Entrées",",","Gluten free. Lamb cooked with spinach and Indian spices.","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665651,"Chicken Vindaloo",0,"Goan style chicken in red chili pepper sauce, finished with white vinegar  ",18,USD,"Meat Entrées",",","Goan style chicken in red chili pepper sauce, finished with white vinegar  ","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665643,"Murgh Sakoonwala",0,"Cubes of chicken, onion, bell peppers cooked with cooked onion &
tomato sauce
",18,USD,"Meat Entrées",",","Cubes of chicken, onion, bell peppers cooked with cooked onion &
tomato sauce
","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665644,"Lamb Vindaaloo",0,"Lamb in red chilli pepper sauce, finished with wine vinegar",20,USD,"Meat Entrées",",","Lamb in red chilli pepper sauce, finished with wine vinegar","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665653,"Bhuna Gosht",0,"Gluten free. Lamb with golden onions and spices in a thick sauce.",20,USD,"Meat Entrées",",","Gluten free. Lamb with golden onions and spices in a thick sauce.","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665639,"Paneer Peshawari",0,"Baton cut farmers cheese, onion, bell pepper simmered in tomato
& onion sauce mix",18,USD,"Vegetarian Entrées","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/356acbfb-8bd0-4ad7-801b-7b55210801e4-retina-large.jpg,","Baton cut farmers cheese, onion, bell pepper simmered in tomato
& onion sauce mix","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,108756019,"Paneer Butter Masala",0,"Spiced butter tomato sauce cooked with paneer",18,USD,"Vegetarian Entrées","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/f939d2a0-f6b3-45d7-8207-9490ec8b0995-retina-large.jpg,","Spiced butter tomato sauce cooked with paneer","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665632,"Dal Sakoonwala",0,"Traditional punjabi black lentils simmered on low fire with tomato,
red chilies, ginger & garlic
",16,USD,"Vegetarian Entrées","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/583034b9-5391-4244-8a05-c3abb6d4f9de-retina-large.JPG,","Traditional punjabi black lentils simmered on low fire with tomato,
red chilies, ginger & garlic
","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,108755995,"Sham Savera Kofta",0,"Spinach dumplings stuffed with cheese, dry fruits, served in
tomato sauce
",18,USD,"Vegetarian Entrées","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/8cd81118-2439-4517-b992-612d7a41e1d7-retina-large.jpg,","Spinach dumplings stuffed with cheese, dry fruits, served in
tomato sauce
","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665637,"Saag Pasand Se",0,"Garden fresh spinach cooked with ginger, garlic, onions with your
choice of cheese/potato/corn/lotus seed",17,USD,"Vegetarian Entrées",",","Garden fresh spinach cooked with ginger, garlic, onions with your
choice of cheese/potato/corn/lotus seed","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665633,"Yellow Dal Tarka",0,"Combination of yellow and red lentils tempered with curry leaves,
red chilies & mustard",16,USD,"Vegetarian Entrées",",","Combination of yellow and red lentils tempered with curry leaves,
red chilies & mustard","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,108756025,"Shahi Paneer",0,"Fresh cottage cheese cubes cooked in onion, yogurt & cashew
nut sauce
",18,USD,"Vegetarian Entrées",",","Fresh cottage cheese cubes cooked in onion, yogurt & cashew
nut sauce
","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665640,"Phool Makhane Ki Sabzi",0,"Popped lotus seeds prepared with Indian cottage cheese, green
peas & cashew nut sauce
",18,USD,"Vegetarian Entrées",",","Popped lotus seeds prepared with Indian cottage cheese, green
peas & cashew nut sauce
","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665634,"Chef's Special Chana Pindi",0,"Rawalpindi style chic peas tempered with spices
",16,USD,"Vegetarian Entrées",",","Rawalpindi style chic peas tempered with spices
","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,8990669820,"Soya Tikka Masala",0,"Oven grilled soya malai chaap, onion, bell peppers cooked with onions & a creamy tomato sauce. ",17,USD,"Vegetarian Entrées",",","Oven grilled soya malai chaap, onion, bell peppers cooked with onions & a creamy tomato sauce. ","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665641,"Mirchi Baigan Ka Salan",0,"Indian eggplant and peppers cooked with ground peanut & spices",18,USD,"Vegetarian Entrées",",","Indian eggplant and peppers cooked with ground peanut & spices","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,108755577,"Vegetable Jalfrezi",0,"Farm fresh vegetables (cauliflower, bell peppers, peas,potates) and paneer tossed in homeground spices with garlic and tomato sauce",17,USD,"Vegetarian Entrées",",","Farm fresh vegetables (cauliflower, bell peppers, peas,potates) and paneer tossed in homeground spices with garlic and tomato sauce","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665636,"Kadhai Bindhi",0,"Fresh okra tossed with onion, tomato, bell pepper & spices
",17,USD,"Vegetarian Entrées",",","Fresh okra tossed with onion, tomato, bell pepper & spices
","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,171802573,"Adraki Aloo Gobhi",0,"Cauliflower, potato and ginger cooked with Seasoned
spices",17,USD,"Vegetarian Entrées",",","Cauliflower, potato and ginger cooked with Seasoned
spices","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665612,"Tandoori Chicken (Full)",0,"Roasted chicken on bone with tandoori masala, served with mint
& tamarind sauce
",22,USD,Tandoor,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/yelp/2961a059-3708-4f60-a930-921379fe581a.jpg,","Roasted chicken on bone with tandoori masala, served with mint
& tamarind sauce
","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665610,"Soufiya Paneer",0,"Marinated cheese cubes, fennel, roasted red pepper & spices with
spring salad
",20,USD,Tandoor,",","Marinated cheese cubes, fennel, roasted red pepper & spices with
spring salad
","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,108754071,"Malai Soya Chaap",0,"Marinated soya cubes cooked with creamy spiced sauce",17,USD,Tandoor,",","Marinated soya cubes cooked with creamy spiced sauce","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665613,"Achari Chicken Tikka",0,"Chicken cubes marinated in pickled spices, finished in a tandoor",18,USD,Tandoor,",","Chicken cubes marinated in pickled spices, finished in a tandoor","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665619,"Sakoon Mixed Grilled Special ",0,"House specialty Lamb Chops, Shrimps, achari chicken tikka &
sheekh kabab
",29,USD,Tandoor,",","House specialty Lamb Chops, Shrimps, achari chicken tikka &
sheekh kabab
","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,242205533,"Shahi Seekh kebab",0,"Ground lamb infused with herbs & roasted cumin
",23,USD,Tandoor,",","Ground lamb infused with herbs & roasted cumin
","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,171800674,"Pesto Salmon Tikka",0,"Grilled Salmon fillet flavored with pesto, herb & spices.  ",24,USD,Tandoor,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/yelp/e815f998-ac3a-48ab-b9d4-74f2f7cf0ac6.jpg,","Grilled Salmon fillet flavored with pesto, herb & spices.  ","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665618,"Samudri Prawns",0,"Tiger prawns marinated in yogurt and spices, served with tomato
chutney",26,USD,Tandoor,",","Tiger prawns marinated in yogurt and spices, served with tomato
chutney","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665609,"Tandoori Veggies",0,"Aromatic herbs marinated cauliflower, bell pepper, onion, paneer &
pineapple",17,USD,Tandoor,",","Aromatic herbs marinated cauliflower, bell pepper, onion, paneer &
pineapple","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665611,"Tandoori Chicken(Half)",0,"Roasted chicken on bone with tandoori masala ,served with mint and tamarind sauce",17,USD,Tandoor,",","Roasted chicken on bone with tandoori masala ,served with mint and tamarind sauce","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,8991849607,"Lamb Chop",0,"Lamb rack in cumin, dry ginger, kashmiri powder marinade, grilled to perfection!",29,USD,Tandoor,",","Lamb rack in cumin, dry ginger, kashmiri powder marinade, grilled to perfection!","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,108754611,"Bombay Fish Masala",0,"Fish cooked with onion, tomato, fenugreek, coriander",19,USD,Seafood,",","Fish cooked with onion, tomato, fenugreek, coriander","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
